bfs_nummer,gemeinde,total_area,score_sum,mean_score
7005,Schaan,5129671.625,18393769.401,3.586
4304,Döttingen,1109629.190,3978524.503,3.585
533,Bätterkinden,2382772.802,8538215.430,3.583
6436,Le Locle,6500054.031,23275057.550,3.581
51,Bachenbülach,1433458.078,5132640.643,3.581
3255,Rebstein,1674800.249,5994218.918,3.579
2825,Füllinsdorf,1873609.545,6704109.728,3.578
248,Uitikon,3359221.049,12012336.290,3.576
97,Rümlang,4114211.623,14695743.194,3.572
4032,Mägenwil,1797244.983,6413381.707,3.568
4092,Birr,1940329.603,6922731.525,3.568
5889,La Tour-de-Peilz,4020249.168,14342062.304,3.567
5518,Echallens,2691540.552,9596120.190,3.565
242,Birmensdorf (ZH),4460060.693,15891339.473,3.563
2964,Stein am Rhein,2063881.954,7351356.685,3.562
1372,Schwyz,9751787.336,34734490.121,3.562
5922,Montagny-près-Yverdon,1674867.854,5964569.101,3.561
3954,Malans,1733620.133,6167948.272,3.558
5118,Minusio,3576045.249,12717368.290,3.556
3213,Goldach,3210129.360,11413472.333,3.555
5281,Biasca,4583991.582,16297904.234,3.555
2586,Wangen bei Olten,1900969.486,6756040.112,3.554
1031,Hochdorf,3370197.436,11971484.299,3.552
5251,Coldrerio,1486485.488,5278335.705,3.551
3251,Altstätten,5648542.139,20028569.670,3.546
7007,Eschen,5231748.756,18547070.659,3.545
5891,Veytaux,1517586.226,5379745.111,3.545
5806,Jorat-Mézières,4416044.745,15646460.872,3.543
1341,Altendorf,3296021.815,11671447.384,3.541
6173,Bitsch,629709.189,2229433.906,3.540
3238,Widnau,3003713.096,10630068.058,3.539
5798,Ropraz,1134045.520,4012879.361,3.539
1406,Sachseln,2447571.134,8659144.411,3.538
4100,Hausen (AG),1609670.334,5689725.537,3.535
4305,Endingen,3284344.865,11600438.945,3.532
2497,Obergösgen,2322812.843,8199865.501,3.530
4206,Rupperswil,1965178.973,6936440.821,3.530
138,Richterswil,4211295.672,14863936.145,3.530
5226,Capriasca,3415635.362,12052571.613,3.529
5511,Assens,1972323.423,6957869.206,3.528
6266,Sion,16339846.257,57631010.013,3.527
157,Oetwil am See,3081177.578,10865596.304,3.526
5730,Trélex,2211760.754,7796595.886,3.525
3032,Heiden,3138344.049,11062633.066,3.525
5227,Torricella-Taverne,2089346.402,7363743.686,3.524
5628,Chigny,805249.105,2837565.595,3.524
4401,Arbon,4607524.018,16226077.700,3.522
6754,Le Noirmont,1997607.517,7033721.487,3.521
196,Mönchaltorf,2029158.352,7143319.968,3.520
5607,Puidoux,2004222.919,7053567.694,3.519
2183,Corminboeuf,2627812.279,9247238.219,3.519
2275,Murten,5471730.963,19247952.297,3.518
3962,Schiers,2011614.312,7075741.873,3.517
3947,Zizers,2485867.494,8743418.125,3.517
2293,Düdingen,7216624.872,25364852.132,3.515
6404,Boudry,5093686.170,17903024.864,3.515
4236,Muri (AG),2777998.191,9762949.451,3.514
1344,Lachen,1812236.122,6368089.848,3.514
3544,Bergün Filisur,2027781.301,7124242.838,3.513
861,Belp,6426727.700,22563413.085,3.511
359,Vechigen,4039174.603,14176509.349,3.510
3851,Davos,19837468.231,69599206.342,3.508
2143,Morlon,1301676.096,4566552.291,3.508
4049,Ehrendingen,2912865.785,10213356.981,3.506
6642,Vandoeuvres,3669025.539,12856712.055,3.504
2579,Hägendorf,1709284.555,5988013.721,3.503
10,Obfelden,3549826.370,12431550.413,3.502
4643,Bottighofen,880054.831,3081657.285,3.502
3234,Diepoldsau,2261869.227,7919738.387,3.501
4071,Jonen,1694780.416,5931828.216,3.500
5198,Melide,2077970.644,7272425.604,3.500
3253,Marbach (SG),1423699.216,4982208.760,3.499
5017,Sant'Antonino,2038521.587,7131400.491,3.498
9329,Bodensee (TG),4449267.782,15560978.834,3.497
401,Aefligen,451786.243,1579720.473,3.497
1342,Galgenen,2365614.849,8270985.071,3.496
5121,Orselina,706212.238,2468482.085,3.495
415,Lyssach,2540543.311,8879372.132,3.495
3575,Laax,3595838.694,12559809.884,3.493
2550,Langendorf,1572901.277,5493571.023,3.493
4074,Oberwil-Lieli,2241677.527,7828758.039,3.492
